System ID	EventAsscPlaceID	EventAsscObjectID	EventAsscPersonID	Name	Event short summary	Type	Date	Time	Period	Date Earliest	Date Latest	Date Notes	Place	Place Notes	Person	Person Role	Person Notes	Object	Object Notes	Event	Event Notes	Concept	Concept Notes	Consequence	Document	Document Notes	Correspondence	Photo Audio-Visual Ref	Photo Audio-Visual Notes	Primary Image	Image Publication Status	User Authority 1	User Authority 2	User Authority 3	User Authority 4	User Authority 5	User Defined Value 1	User Defined Value 2	User Defined Value 3	User Defined Value 4	User Defined Value 5	User Defined Text 1	User Defined Text 2	User Defined Text 3	User Defined Text 4	User Defined Text 5	User Authority 1 AMV	User Authority 1 AMV <Not in use>	User Authority 1 AMV Date	User Authority 1 AMV Notes	User Authority 2 AMV	User Authority 2 AMV <Not in use>	User Authority 2 AMV Date	User Authority 2 AMV Notes	User Authority 3 AMV	User Authority 3 AMV <Not in use>	User Authority 3 AMV Date	User Authority 3 AMV Notes	User Authority 4 AMV	User Authority 4 AMV <Not in use>	User Authority 4 AMV Date	User Authority 4 AMV Notes	User Authority 5 AMV	User Authority 5 AMV <Not in use>	User Authority 5 AMV Date	User Authority 5 AMV Notes	Short Name	Long Name	Definition	Images	Image Ref - Full path	Image Ref - Relative path	External File	External File Category	External File Notes	Web Address	Next Higher Term	Hierarchical Level	Sequence	Hierarchical Levels Summary	Ascending Hierarchy	<System Flag>:Ascending Name	<System Flag>:Descending Name	<System Flag>:Name	Descending Hierarchy	Current Status	Status History	Status History Date	Updated By	Update Time	Management Flag	Flag Note	Term Usage Control	System Note	Manager Note	Cataloguer	Date Catalogued	Authority Source	Authority Source Note	Originating Database	Originating Date	Originating No	Record Size
"208"	"1261"				"Chatham Episcopal Institute/Chatham/Virginia"								"Chatham Episcopal Institute/Chatham/Virginia"																		"No image"																																																	"                                         208            "						"Candidate"			"EBRINDLEY"	"Feb 21 2017"													"101"
"209"	"1262"				"School of the Art Institute of Chicago/Chicago/Illinois"								"School of the Art Institute of Chicago/Chicago/Illinois"																		"No image"																																																	"                                         209            "						"Candidate"			"EBRINDLEY"	"Feb 21 2017"													"101"
"26"	"USA"		"260, 1223"	"""Camera Work"" publishes excerpts from Wassily Kandinsky's book ""Concerning the Spiritual in Art."""	"""Camera Work"" publishes excerpts from Wassily Kandinsky's book ""Concerning the Spiritual in Art.""; 1912; United States of America/North America"	"Arts Events"	"1912"			"Jan 01 1912"	"Dec 31 1912"		"United States of America/North America"		"Alfred Stieglitz, Wassily Kandinsky"	"Subject, Subject"															"No image"																																				"""Camera Work"" publishes excerpts from Wassily Kandinsky's book ""Concerning the Spiritual in Art."""	"""Camera Work"" publishes excerpts from Wassily Kandinsky's book ""Concerning the Spiritual in Art."""	"Camera Work publishes excerpts from Wassily Kandinsky’s 1911 book ""Concerning the Spiritual in Art,"" which ignites an international discussion regarding the creation of art that does not depict an object."											"               ""Camera Work"" publishes e 26             "	"""Camera Work"" publishes excerpts from Wassily Kandinsky's book ""Concerning the Spiritual in Art."""	"""Camera Work"" publishes excerpts from Wassily Kandinsky's book ""Concerning the Spiritual in Art."""	"""Camera Work"" publishes excerpts from Wassily Kandinsky's book ""Concerning the Spiritual in Art."""	"""Camera Work"" publishes excerpts from Wassily Kandinsky's book ""Concerning the Spiritual in Art."""	"""Camera Work"" publishes excerpts from Wassily Kandinsky's book ""Concerning the Spiritual in Art."""	"Candidate"	"Candidate"	"Feb 21 2017"	"EBRINDLEY, EBRINDLEY, EBRINDLEY"	"Feb 23 2017, Feb 21 2017, Feb 16 2017"													"462"
"40"	"30"			"The ""Forum Exhibition of Modern American Painters"" opens at the Anderson Galleries."	"The ""Forum Exhibition of Modern American Painters"" opens at the Anderson Galleries.; 1916; New York City/New York"	"Arts Events"	"1916"			"Jan 01 1916"	"Dec 31 1916"		"New York City/New York"																		"No image"																																				"The ""Forum Exhibition of Modern American Painters"" opens at the Anderson Galleries."	"The ""Forum Exhibition of Modern American Painters"" opens at the Anderson Galleries."	"The Forum Exhibition of Modern American Painters, curated by artist Willard Wright, opens at the Anderson Galleries in New York City as a rejoinder to the Armory Show and its emphasis on Modern European art."											"               The ""Forum Exhibition of  40             "	"The ""Forum Exhibition of Modern American Painters"" opens at the Anderson Galleries."	"The ""Forum Exhibition of Modern American Painters"" opens at the Anderson Galleries."	"The ""Forum Exhibition of Modern American Painters"" opens at the Anderson Galleries."	"The ""Forum Exhibition of Modern American Painters"" opens at the Anderson Galleries."	"The ""Forum Exhibition of Modern American Painters"" opens at the Anderson Galleries."	"Candidate"			"EBRINDLEY"	"Feb 16 2017"													"397"
"194"	"1282"		"2, 260"	"""Georgia O’Keeffe: a Portrait by Alfred Stieglitz"" opens at the Metropolitan Museum of Art."	"""Georgia O’Keeffe: a Portrait by Alfred Stieglitz"" opens at the Metropolitan Museum of Art.; 1978; The Metropolitan Museum of Art/New York City/New York"	"Georgia O'Keeffe"	"1978"			"Jan 01 1978"	"Dec 31 1978"		"The Metropolitan Museum of Art/New York City/New York"		"Georgia O'Keeffe, Alfred Stieglitz"	"Subject, Subject"															"No image"																																				"""Georgia O’Keeffe: a Portrait by Alfred Stieglitz"" opens at the Metropolitan Museum of Art."	"""Georgia O’Keeffe: a Portrait by Alfred Stieglitz"" opens at the Metropolitan Museum of Art."	"""Georgia O’Keeffe: a Portrait by Alfred Stieglitz"" opens at the Metropolitan Museum of Art. Georgia O’Keeffe writes the catalogue that includes images not previously published."											"               ""Georgia O’Keeffe: a Port 194            "	"""Georgia O’Keeffe: a Portrait by Alfred Stieglitz"" opens at the Metropolitan Museum of Art."	"""Georgia O’Keeffe: a Portrait by Alfred Stieglitz"" opens at the Metropolitan Museum of Art."	"""Georgia O’Keeffe: a Portrait by Alfred Stieglitz"" opens at the Metropolitan Museum of Art."	"""Georgia O’Keeffe: a Portrait by Alfred Stieglitz"" opens at the Metropolitan Museum of Art."	"""Georgia O’Keeffe: a Portrait by Alfred Stieglitz"" opens at the Metropolitan Museum of Art."	"Candidate"	"Candidate"	"Feb 22 2017"	"EBRINDLEY, EBRINDLEY"	"Feb 22 2017, Feb 21 2017"													"412"
"167"	"USA"		"2"	"""Life"" magazine features Georgia O'Keeffe on the cover, ""Georgia O'Keeffe in New Mexico: Stark Visions of a Pioneer Painter."""	"""Life"" magazine features Georgia O'Keeffe on the cover, ""Georgia O'Keeffe in New Mexico: Stark Visions of a Pioneer Painter.""; 1968; United States of America/North America"	"Georgia O'Keeffe"	"1968"			"Jan 01 1968"	"Dec 31 1968"		"United States of America/North America"		"Georgia O'Keeffe"	"Subject"															"No image"																																				"""Life"" magazine features Georgia O'Keeffe on the cover, ""Georgia O'Keeffe in New Mexico: Stark Visions of a Pioneer Painter."""	"""Life"" magazine features Georgia O'Keeffe on the cover, ""Georgia O'Keeffe in New Mexico: Stark Visions of a Pioneer Painter."""	"""Life"" magazine features Georgia O’Keeffe on the cover, “Georgia O’Keeffe in New Mexico: Stark Visions of a Pioneer Painter.”"											"               ""Life"" magazine features  167            "	"""Life"" magazine features Georgia O'Keeffe on the cover, ""Georgia O'Keeffe in New Mexico: Stark Visions of a Pioneer Painter."""	"""Life"" magazine features Georgia O'Keeffe on the cover, ""Georgia O'Keeffe in New Mexico: Stark Visions of a Pioneer Painter."""	"""Life"" magazine features Georgia O'Keeffe on the cover, ""Georgia O'Keeffe in New Mexico: Stark Visions of a Pioneer Painter."""	"""Life"" magazine features Georgia O'Keeffe on the cover, ""Georgia O'Keeffe in New Mexico: Stark Visions of a Pioneer Painter."""	"""Life"" magazine features Georgia O'Keeffe on the cover, ""Georgia O'Keeffe in New Mexico: Stark Visions of a Pioneer Painter."""	"Candidate"	"Candidate"	"Feb 23 2017"	"EBRINDLEY, EBRINDLEY"	"Feb 23 2017, Feb 21 2017"													"388"
"100"	"USA"		"2, 907"	"""Life"" magazine proclaims Georgia O'Keeffe as the ""country's most prosperous and talked-of painters."""	"""Life"" magazine proclaims Georgia O'Keeffe as the ""country's most prosperous and talked-of painters.""; Feb 1938; United States of America/North America"	"Arts Events"	"Feb 1938"			"Feb 01 1938"	"Feb 28 1938"		"United States of America/North America"		"Georgia O'Keeffe, Ansel Adams"	"Subject, Subject"															"No image"																																				"""Life"" magazine proclaims Georgia O'Keeffe as the ""country's most prosperous and talked-of painters."""	"""Life"" magazine proclaims Georgia O'Keeffe as the ""country's most prosperous and talked-of painters."""	"""Life"" magazine publishes a four-page spread with photographs by Ansel Adams proclaiming Georgia O’Keeffe as the “country’s most prosperous and talked-of painters.”"											"               ""Life"" magazine proclaims 100            "	"""Life"" magazine proclaims Georgia O'Keeffe as the ""country's most prosperous and talked-of painters."""	"""Life"" magazine proclaims Georgia O'Keeffe as the ""country's most prosperous and talked-of painters."""	"""Life"" magazine proclaims Georgia O'Keeffe as the ""country's most prosperous and talked-of painters."""	"""Life"" magazine proclaims Georgia O'Keeffe as the ""country's most prosperous and talked-of painters."""	"""Life"" magazine proclaims Georgia O'Keeffe as the ""country's most prosperous and talked-of painters."""	"Candidate"	"Candidate"	"Feb 22 2017"	"EBRINDLEY, EBRINDLEY, EBRINDLEY"	"Feb 23 2017, Feb 22 2017, Feb 16 2017"													"426"
"126"	"USA"			"""Life"" magazine publishes “Jackson Pollock: Is He the Greatest Living Painter in the United States?”"	"""Life"" magazine publishes “Jackson Pollock: Is He the Greatest Living Painter in the United States?”; Aug 08 1949; United States of America/North America"	"Arts Events"	"Aug 08 1949"			"Aug 08 1949"	"Aug 08 1949"		"United States of America/North America"																		"No image"																																				"""Life"" magazine publishes “Jackson Pollock: Is He the Greatest Living Painter in the United States?”"	"""Life"" magazine publishes “Jackson Pollock: Is He the Greatest Living Painter in the United States?”"	"""Life"" magazine publishes “Jackson Pollock: Is He the Greatest Living Painter in the United States?”"											"               ""Life"" magazine publishes 126            "	"""Life"" magazine publishes “Jackson Pollock: Is He the Greatest Living Painter in the United States?”"	"""Life"" magazine publishes “Jackson Pollock: Is He the Greatest Living Painter in the United States?”"	"""Life"" magazine publishes “Jackson Pollock: Is He the Greatest Living Painter in the United States?”"	"""Life"" magazine publishes “Jackson Pollock: Is He the Greatest Living Painter in the United States?”"	"""Life"" magazine publishes “Jackson Pollock: Is He the Greatest Living Painter in the United States?”"	"Candidate"			"EBRINDLEY"	"Feb 21 2017"													"309"
"130"	"USA, 1134"		"2"	"""Popular Science"" lists its first advertisement for a bomb shelter."	"""Popular Science"" lists its first advertisement for a bomb shelter.; 1951; United States of America/North America, Abiquiu/New Mexico"	"History and Politics"	"1951"			"Jan 01 1951"	"Dec 31 1951"		"United States of America/North America, Abiquiu/New Mexico"		"Georgia O'Keeffe"	"Associated"															"No image"																																				"""Popular Science"" lists its first advertisement for a bomb shelter."	"""Popular Science"" lists its first advertisement for a bomb shelter."	"Popular Science lists its first advertisement for a bomb shelter just two years after the Soviet Union successfully tested an atomic bomb. Georgia O’Keeffe later builds an underground shelter on her Abiquiú property."											"               ""Popular Science"" lists i 130            "	"""Popular Science"" lists its first advertisement for a bomb shelter."	"""Popular Science"" lists its first advertisement for a bomb shelter."	"""Popular Science"" lists its first advertisement for a bomb shelter."	"""Popular Science"" lists its first advertisement for a bomb shelter."	"""Popular Science"" lists its first advertisement for a bomb shelter."	"Candidate"	"Candidate"	"Feb 23 2017"	"EBRINDLEY, EBRINDLEY"	"Feb 23 2017, Feb 21 2017"													"426"
"30"	"30"			"""The International Exhibition of Modern Art,"" known as the Armory Show, opens in New York City."	"""The International Exhibition of Modern Art,"" known as the Armory Show, opens in New York City.; 1913; New York City/New York"	"Arts Events"	"1913"			"Jan 01 1913"	"Dec 31 1913"		"New York City/New York"																		"No image"																																				"""The International Exhibition of Modern Art,"" known as the Armory Show, opens in New York City."	"""The International Exhibition of Modern Art,"" known as the Armory Show, opens in New York City."	"""The International Exhibition of Modern Art,"" known as the Armory Show opened in New York City, introduces American audiences to radical avant-garde art."											"               ""The International Exhibi 30             "	"""The International Exhibition of Modern Art,"" known as the Armory Show, opens in New York City."	"""The International Exhibition of Modern Art,"" known as the Armory Show, opens in New York City."	"""The International Exhibition of Modern Art,"" known as the Armory Show, opens in New York City."	"""The International Exhibition of Modern Art,"" known as the Armory Show, opens in New York City."	"""The International Exhibition of Modern Art,"" known as the Armory Show, opens in New York City."	"Candidate"	"Candidate"	"Feb 23 2017"	"EBRINDLEY, EBRINDLEY"	"Feb 23 2017, Feb 16 2017"													"378"
