System ID	Exh Concept short summary	Procedural Status	Title	Description	Organizer	Organizer PersonID	Start Date	End Date	Start-End	Venues	Venue PersonID	Object IDs
"3"	"Views of the City; Organizer: Georgia O'Keeffe Museum (Santa Fe); Start: Nov 14 2000; End: Mar 14 2001"	"Completed"	"Views of the City"	"Views of the City: 1910s-1940s.  Georgia O'Keeffe lived in New York on and off from 1907 until 1949, and she became very much aware of the possibilities the city offered as subject matter. This exhibition, organized by the Georgia O'Keeffe Museum, presents eight of the artist's New York works, along with more than 60 additional interpretations of the city an and its environs by 28 of her contemporaries. ^ ^The Museum is grateful to the many individuals and institutions who have generously loaned works from their collections."	"Georgia O'Keeffe Museum (Santa Fe)   Institution"	"1"	"Nov 14 2000"	"Mar 14 2001"	"Nov 14 2000 - Mar 14 2001"	"Views of the City; Organizer: Georgia O'Keeffe Museum (Santa Fe); Start: Nov 14 2000; End: Mar 14 2001; Georgia O'Keeffe Museum (Santa Fe); Opening: Nov 14 2000; Closing: Mar 14 2001"	"1"	"149, 639, 71, 8604, 8602, 8683"
"5"	"Georgia O'Keeffe and the Calla Lily in American Art: 1860-1940; Organizer: Georgia O'Keeffe Museum (Santa Fe); Start: Oct 03 2002; End: Aug 10 2003"	"Completed"	"Georgia O'Keeffe and the Calla Lily in American Art: 1860-1940"	"Gallery 1-? ^The exhibition Georgia O'Keeffe and the Calla Lily in American Art, 1860-1940, is the first to examine the great appeal of this exotic flower's as a subject for American painters and photographers. It presents a visual feast of 54 depictions of the calla by 33 different artists, such as Imogen Cunningham, Charles Demuth, Marsden Hartley. Rebecca James, Georgia O'Keeffe, Joseph Stella, and Edward Weston. its nine paintings of this elegant bloom by O'Keeffe, six by Hartley, and one by Demuth acknowledge the importance of this subject to the Stieglitz circle of modernist artists. Those by O'Keeffe, who became known as ""The Lady of the Lily"" in the 1920s because of the frequency and compelling ways in which she depicted the flower, define her achievement with respect to this subject and within the context of that of other American artists."	"Georgia O'Keeffe Museum (Santa Fe)   Institution"	"1"	"Oct 03 2002"	"Aug 10 2003"	"Oct 03 2002 - Aug 10 2003"	"Georgia O'Keeffe and the Calla Lily in American Art: 1860-1940; Organizer: Georgia O'Keeffe Museum (Santa Fe); Start: Oct 03 2002; End: Aug 10 2003; Memphis Brooks Museum of Art (Memphis); Opening: Mar 09 2003; Closing: May 18 2003, Georgia O'Keeffe and the Calla Lily in American Art: 1860-1940; Organizer: Georgia O'Keeffe Museum (Santa Fe); Start: Oct 03 2002; End: Aug 10 2003; Muscarelle Museum of Art; Opening: May 31 2003; Closing: Aug 10 2003, Georgia O'Keeffe and the Calla Lily in American Art: 1860-1940; Organizer: Georgia O'Keeffe Museum (Santa Fe); Start: Oct 03 2002; End: Aug 10 2003; Georgia O'Keeffe Museum (Santa Fe); Opening: Oct 03 2002; Closing: Jan 14 2003"	"301, 303, 1"	"461, 68, 103, 8519, 8547, 8548"
"6"	"Alfred Stieglitz Presents Fifty-One Recent Pictures : Oils, Water-colors, Pastels, Drawings, by Georgia O'Keeffe, American; Organizer: Anderson Galleries (The) (New York City); Start: Mar 03 1924; End: Mar 16 1924"	"Completed"	"Alfred Stieglitz Presents Fifty-One Recent Pictures : Oils, Water-colors, Pastels, Drawings, by Georgia O'Keeffe, American"	"1924 ^New York ^The Anderson Galleries ^Alfred Stieglitz Presents Fifty-One Recent Pictures : Oils, Water-Colors, Pastels, Drawings, by Georgia O'Keeffe, American ^3-16 March"	"Anderson Galleries (The) (New York City)   "	"1450"	"Mar 03 1924"	"Mar 16 1924"	"Mar 03 1924 - Mar 16 1924"	"Alfred Stieglitz Presents Fifty-One Recent Pictures : Oils, Water-colors, Pastels, Drawings, by Georgia O'Keeffe, American; Organizer: Anderson Galleries (The) (New York City); Start: Mar 03 1924; End: Mar 16 1924; Anderson Galleries (The) (New York City); Opening: Mar 03 1924; Closing: Mar 16 1924"	"1450"	"8524, 8525, 8508, 8441, 1000, 8512, 8513, 167, 8510, 8509, 8475, 8515, 8518, 68, 8519, 8516, 8517, 8412, 8540, 8477, 8506, 8522, 8473, 8456, 8523, 8476, 8502, 8430, 8504, 8533, 8500, 8527, 8474, 107, 8501, 8503, 8532, 8443, 8489, 156, 8454, 8455, 8511, 8505, 8526"
"7"	"O'Keeffe and New Mexico: A Sense of Place; Organizer: Georgia O'Keeffe Museum (Santa Fe); Start: Jun 11 2004; End: May 15 2005"	"Completed"	"O'Keeffe and New Mexico: A Sense of Place"	"O'Keeffe and New Mexico: A Sense of Place is the first exhibition to feature the artist's famous depictions of New Mexico subjects and to explore the various eays in which these works relate to the specific sites that inspred them. It includes approximately 50 paintings ranging in date from 1929 to the early 1950s as well recently-made photographs of 20 of the sites from which a number of these paintings derive."	"Georgia O'Keeffe Museum (Santa Fe)   Institution"	"1"	"Jun 11 2004"	"May 15 2005"	"Jun 11 2004 - May 15 2005"	"O'Keeffe and New Mexico: A Sense of Place; Organizer: Georgia O'Keeffe Museum (Santa Fe); Start: Jun 11 2004; End: May 15 2005; Albright-Knox Art Gallery (Buffalo); Opening: Feb 17 2005; Closing: May 15 2005, O'Keeffe and New Mexico: A Sense of Place; Organizer: Georgia O'Keeffe Museum (Santa Fe); Start: Jun 11 2004; End: May 15 2005; Georgia O'Keeffe Museum (Santa Fe); Opening: Jun 11 2004; Closing: Sep 12 2004, O'Keeffe and New Mexico: A Sense of Place; Organizer: Georgia O'Keeffe Museum (Santa Fe); Start: Jun 11 2004; End: May 15 2005; Columbus Museum of Art (Columbus); Opening: Oct 01 2004; Closing: Jan 15 2005"	"356, 1, 328"	"547, 549, 77, 551, 553, 554, 560, 561, 562, 563, 78, 565, 79, 567, 568, 569, 570, 580, 581, 583, 584, 585, 587, 588, 590, 59, 84, 591, 593, 595, 597, 96, 136, 598, 599, 546, 548, 550, 564, 566, 571, 582, 83, 586, 589, 592, 594, 596, 122"
"285"	"Contemporary American Painting; Organizer: Oberlin College, Allen Memorial Art Museum (Oberlin); Start: Apr 18 1947; End: May 11 1947"	"Historic"	"Contemporary American Painting"	"1947 ^Oberlin, Ohio ^Allen memorial Art Museum ^Contemporary American Painting ^18 April--11 May"	"Oberlin College, Allen Memorial Art Museum (Oberlin)   Institution"	"1525"	"Apr 18 1947"	"May 11 1947"	"Apr 18 1947 - May 11 1947"	"Contemporary American Painting; Organizer: Oberlin College, Allen Memorial Art Museum (Oberlin); Start: Apr 18 1947; End: May 11 1947; Oberlin College, Allen Memorial Art Museum (Oberlin); Opening: Apr 18 1947; Closing: May 11 1947"	"1525"	"166"
"279"	"title unknown; Organizer: Modern Art Museum of Fort Worth (Fort Worth); Start: Oct 1947; End: Oct 1947"	"Historic"	"title unknown"	"1947 ^Fort Worth, Texas ^Fort Worth Association ^[title unknown] ^October"	"Modern Art Museum of Fort Worth (Fort Worth)   "	"1432"	"Oct 1947"	"Oct 1947"	"Oct 1947 - Oct 1947"	"title unknown; Organizer: Modern Art Museum of Fort Worth (Fort Worth); Start: Oct 1947; End: Oct 1947; Modern Art Museum of Fort Worth (Fort Worth); Opening: Oct 1947; Closing: Oct 1947"	"1432"	"1014"
"277"	"Fifty Paintings from the Holbrook Collection of the University of Georgia; Organizer: Birmingham Museum of Art (Birmingham); Start: May 01 1947; End: May 31 1947"	"Historic"	"Fifty Paintings from the Holbrook Collection of the University of Georgia"	"1947 ^Birmingham Alabama ^Birmingham Art Club ^Fifty Paintings from the Holbrook Collection of the University of Georgia ^1-31 May"	"Birmingham Museum of Art (Birmingham)   Institution"	"1578"	"May 01 1947"	"May 31 1947"	"May 01 1947 - May 31 1947"	"Fifty Paintings from the Holbrook Collection of the University of Georgia; Organizer: Birmingham Museum of Art (Birmingham); Start: May 01 1947; End: May 31 1947; Birmingham Museum of Art (Birmingham); Opening: May 01 1947; Closing: May 31 1947"	"1578"	"8446"
"102"	"title unknown; Organizer: Downtown Gallery (The) (New York); Start: May 31 1925; End: Oct 09 1925"	"Historic"	"title unknown"	"1925 ^New York ^The Downtown Gallery ^[title unknown] ^31 May -- 9 October."	"Downtown Gallery (The) (New York)   "	"1468"	"May 31 1925"	"Oct 09 1925"	"May 31 1925 - Oct 09 1925"	"title unknown; Organizer: Downtown Gallery (The) (New York); Start: May 31 1925; End: Oct 09 1925; Downtown Gallery (The) (New York); Opening: May 31 1925; Closing: Oct 09 1925"	"1468"	"8551"
"137"	"Second Exhibitions: The New Decorative Idioms in Painting; Organizer: Phillips Memorial Gallery (Washington, D.C.); Start: Feb 1931; End: Jun 1931"	"Historic"	"Second Exhibitions: The New Decorative Idioms in Painting"	"1931 ^Washington, D.C. ^Phillips Memorial Gallery ^Second Exhibitions: The New Decorative Idioms in Painting ^February--June"	"Phillips Memorial Gallery (Washington, D.C.)   Institution"	"1470"	"Feb 1931"	"Jun 1931"	"Feb 1931 - Jun 1931"	"Second Exhibitions: The New Decorative Idioms in Painting; Organizer: Phillips Memorial Gallery (Washington, D.C.); Start: Feb 1931; End: Jun 1931; Phillips Memorial Gallery (Washington, D.C.); Opening: Feb 1931; Closing: Jun 1931"	"1470"	"8551"
"146"	"Sea and Land and City Streets; Organizer: Renaissance Society Gallery at the University of Chicago (Chicago); Start: Jun 01 1933; End: Sep 01 1933"	"Historic"	"Sea and Land and City Streets"	"1933 ^Chicago, Illinois ^The Renaissance Society of the University of Chicago ^Sea and Land and City Streets ^1 June--1 September"	"Renaissance Society Gallery at the University of Chicago (Chicago)   Institution"	"1495"	"Jun 01 1933"	"Sep 01 1933"	"Jun 01 1933 - Sep 01 1933"	"Sea and Land and City Streets; Organizer: Renaissance Society Gallery at the University of Chicago (Chicago); Start: Jun 01 1933; End: Sep 01 1933; Renaissance Society Gallery at the University of Chicago (Chicago); Opening: Jun 01 1933; Closing: Sep 01 1933"	"1495"	"8551"
