System ID	Provenance full details	Acquisition Method
"10"		"Gift"
"1000"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1001"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1002"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1003"		"Gift"
"1004"		"Gift"
"1005"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1006"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1007"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1008"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1009"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1010"	"Estate of artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1011"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1012"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1013"	"Estate of the artist   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1014"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico, The artist, 1947   Georgia O'Keeffe   1947   Abiquiu/New Mexico, Cady Wells, Pojoaque, New Mexico, c. 1942   Cady Wells   1942   Pojoaque/New Mexico"	"Gift"
"1015"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1016"	"Estate of artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1017"	"(The Downtown Gallery, New York, N.Y.) ^Private collection, Washington, D.C., 1958 ^Sotheby Parke Bernet inc., New York., sale no. 3644, lot no. 84, 23 May 1974 ^The Artist, purchase, 1974 Estate of the artist, 1986         "	"Gift"
"1018"	"Estate of th artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1020"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1021"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1022"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1023"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1024"	"Maria Chabot, Alcalde, New Mexico, Gift, 1944 ^(Doris Bry, Newy York, N.Y.) ^The artist, purchase, 1974 ^Estate of the artist, 1986         "	"Gift"
"1025"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1026"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   New Mexico"	"Gift"
"1027"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1028"	"Estate of te artist, 1986   Georgia O'Keeffe   1986   New Mexico"	"Gift"
"1029"		"Gift"
"103"	"(The Intimate Gallery, New York, N.Y.) ^Mitchell Kennerley, New York, N.Y., 1928 ^(An American Place, New York, N.Y.), return, 1931 ^The artist, 1946 ^Estate of the artist, 1986 ^Private collection, 1987 ^The Burnett Foundation, Fort Worth, Tex., 1996         "	"Burnett Foundation Gift"
"1030"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1031"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1032"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1033"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1034"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1035"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1036"	"Anita O""Keeffe (Mrs. Robert B.) Young, Newport, Rhode island, before 1966 ^The artist, date unknown ^Estate of he artist, 1986         "	"Gift"
"1037"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1038"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1039"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"104"	"(The Downtown Gallery, New York, N.Y.) ^Dr. Wilfred C. Hulse, New York, N.Y., 1961 ^(The Downtown Gallery, New York, N.Y.) ^The artist, return, 1962 ^(The Downtown Gallery, New York, N.Y.) ^Dr. Milton M. Gardner, Merrick, N.Y., 1962 ^(Doris Bry, New York, N.Y.) ^The artist, exchange, 1971 ^Estate of the artist, 1986 ^Private collection, Milwaukee, Wisc., 1988 ^The Burnett Foundation, Fort Worth, Tex., 1997         "	"Burnett Foundation Gift"
"1040"		"Gift"
"1041"	"(The Downtown Gallery, New York, N.Y.) ^Private collection, New York, N.Y., 1962 ^(Doris Bry, New York, N.Y.) ^The artist, exchange, by 1970 ^Estate of the artist, 1986         "	"Gift"
"1042"		"Gift"
"1043"		"Gift"
"1044"	"Estate of artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
"1045"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"	"Gift"
