System ID	Primary Prod Date	Primary Production Earliest Latest Dates	Primary Production Place	Production General Notes	Primary Maker ID	Primary Maker name role	Secondary Maker ID	Secondary Maker and Role	Secondary Prod Date only	Secondary Prod Location only	Secondary Prod Notes only	Primary Production Place URI	Primary Production Role only	Production General Notes	Primary Production Technique
"10"	"1955"	"Jan 01 1955   Dec 31 1955"	"Nambe/New Mexico   "		"1155"	"Todd Webb (American, b.1905, d.2000)   Photographer"									
"1000"	"1923"	"Jan 01 1923   Dec 31 1923"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1001"	"1926"	"Jan 01 1926   Dec 31 1926"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1002"	"1926"	"Jan 01 1926   Dec 31 1926"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1003"	"ca. 1927"	"Jan 01 1922   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1004"	"ca. 1927"	"Jan 01 1922   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1005"	"ca. 1930-1936"	"Jan 01 1925   Dec 31 1941"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1006"	"ca. 1930-1936"	"Jan 01 1925   Dec 31 1941"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1007"	"1931"	"Jan 31 1931   Dec 31 1931"		"Work is executed on the recto of a previous oil painting on hardwood panel, 3/16"" thick.  The previous work appears to be a landscape of Lake George, wit the brushwork and application of paints very different than O'Keeffe. The ""kachina"" is in 180 degree orientation than that of the landscape on the verso.  O'Keeffe has written ""Pauls katchina"" (sic) in script, graphite, along with the number ""31"" and a five-pointed star with a scrpit ""OK"" in the center.  The workis painted directly on the wood panel without any ground.  DPK 1/07"	"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"								"Work is executed on the recto of a previous oil painting on hardwood panel, 3/16"" thick.  The previous work appears to be a landscape of Lake George, wit the brushwork and application of paints very different than O'Keeffe. The ""kachina"" is in 180 degree orientation than that of the landscape on the verso.  O'Keeffe has written ""Pauls katchina"" (sic) in script, graphite, along with the number ""31"" and a five-pointed star with a scrpit ""OK"" in the center.  The workis painted directly on the wood panel without any ground.  DPK 1/07"	
"1008"	"1932"	"Jan 01 1932   Dec 31 1932"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1009"	"1935"	"Jan 01 1935   Dec 31 1935"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1010"	"1935"	"Jan 01 1935   Dec 31 1935"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
"1011"	"1937"	"Jan 01 1937   Dec 31 1937"			"2"	"Georgia O'Keeffe (American, b.1887, d.1986)   Artist"									
