System ID	Name Title	Name Title Notes	Other Name
"10"	"Cow's Skull, Nambe, NM"		
"1000"	"Alligator Pears"	"Source of title: 1924  New York (Anderson) checklist. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Pictured in Stieglitz installation photograph, see Appendix III, figure 26, Orientation based on installation photograph."	
"1001"	"Clam and Mussel"	"Remarks: Source of first title: Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; Artist Files, Whitney Museum of American Art Library indicates, ""Exam. at Amer. Place, March 1946."" Abiquiu Notebooks notes stretcher inscription 1 and indicates, ""Back: O'Keeffe initials and star [not verified]. Pair with 'Tan Clam with Seaweed.'"" Stretcher inscription 2 indicates preparatory work. O'Keeffe wrote: ""I have picked up shells along the coast of Maine -- farther south, in the Bermudas and Bahamas I found conch shells along the pure sandy beaches...Each shell was a beautiful world in itself"" (Georgia O'Keeffe [1976], unpaginated, text accompanying entry 79)."	"Dark Shell   Former Title   , The Seashell   Former Title"
"1002"	"Tan Clam Shell with Seaweed"	"Source of first title: backing inscription 1, Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Whitney Museum of American Art Library indicates, ""Exam. at Amer. Place, March 1946....No signature."" Abiquiu Notebooks notes backing inscriptions 1, 2 and indicates, ""Pair with clam and Mussel."" Barbara Buhler Lynes."	"The Seashell   Former Title   , Shell with Seaweed   Former Title"
"1003"	"Small Poppy with Vine I"	"Source of title: Label: printed, O'Keeffe (white).  Not recorded Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation."	
"1004"	"Small Poppy with Vine II"	"Source of title: Label: printed, O'Keeffe (white).  Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes."	
"1005"	"Untitled (Lily)"	"Remarks: Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation."	
"1006"	"Untitled (Leaf)"	"Remarks: Source of title: image. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation."	
"1007"	"Paul's Kachina"	"Remarks: Source of title: verso inscription 1, Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Whitney Museum of American Art Library indicates, ""Exam at Amer. Place, March 1946....No signature.""  Whitney Museum of American Art Library, Abiquiu Notebooks note inscriptions 1, 2. See cat. no. 1829. The name in the title refers to the artist's friend Paul Jones, on basis of Stieglitz - O'Keeffe correspondence."	
"1008"	"East River"	"Remarks: source of title: verso inscription 2. Not recorded Artist Files, Whitney Museum of American Art Library; Artist Files, Downtown Gallery Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation. Barbara Buhler Lynes"	
"1009"	"Turkey Feather with Horseshoe, II"	"Remarks: Source of first title: Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; 1936 New York (An American Place) exhibition checklist. Whitney Museum of American Art Library indicates, ""Exam. at Amer. Place, March 1946.... No signature."""	"Horseshoe and Feathers #2      DG, Turkey Feather with Horseshoe--II   AN"
"1010"	"Horseshoe with Feather No. 1"	"Remarks: Source of first title: backing inscription 1. Artist Files, Whitney Museum of American Art Library indicates, ""Exam at amer. Place, March 1946"" [notes inscription 1]. Abiquiu Notebooks notes inscription 2. Reproduced and titled Turkey Feather with Horseshoe, I, in The Springfield Sunday Union and Republican (January 1936)."	"Turkey Feather with Horseshoe, I      , Turkey Feather with Horseshoe I   WA, DA, AN"
"1011"	"Horn and Feathers"	"Remarks: Source of first title Artist Files, Whitney Museum of ^American Art Library; Artist Files, Downtown Gallery ^Records, Archives of American Art; Abiquiu Notebooks, The Georgia O'Keeffe Foundation; 1937-38 New York (An American Place) exhibition checklist. Whitney Museum of American Art Library indicates, ""Exam at Amer. Place, March 1946....No signaure.... See gallery photograph [not verified]. Knight Pub., O'Keeffe 1937, Color Plate. No. 11, 'Horns and Feathers.'"""	"Horn & Feathers      "
