Controlling Institution	System ID	Accession No	Other ID: AS Key Set and CR	Classification term only	Object Type	Brief Description	Credit Line	Media Materials Description	Materials term only	Measurement Description	Update date	Item Count	Classification term only	Record Status	Department	Procedural Status	Signature Marks Date Description	Copyright status	Maker| Role for Export	Provenance full details	Collection	Current Owner	Object Copyright URI	Classification URI	Object Type URI	Materials Type URI	Artist for caption	Maker| Role for Export	Title and date	Medium and dimensions	Controlling Institution for caption	Copyright Holder for caption	Accession Number for caption	Primary Image DAM ID	Image DAM ID	Caption	CR Number	Exhibition Details	Documentation short summary only	Related Object IDs	External File Details
"Georgia O'Keeffe Museum (Santa Fe)"	"10"	"1996.6.2"		"Photographs/Visual Works"		"Close up view of cow's skull hanging on fence post attached by wire."	"Gift of Nathaniel O. and Page Allen Owings      "	"Gelatin silver print"	"Gelatin silver print/Photograph"	"6 x 4 1/2 in"	"Aug 28 2019"	"1"	"Photographs/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"On the back of the photograph handwritten in ink is the title, date, and artist signature."	"Copyright"	"Photographer: Todd Webb"			"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300046300"			"Todd Webb"	"Photographer: Todd Webb"	"Cow's Skull, Nambe, NM, 1955"	"Gelatin silver print, 6 x 4 1/2 in"	"Georgia O'Keeffe Museum"	"© Todd Webb Archive"	"[1996.6.2]"	"729452"	"729452, "	"Todd Webb. Cow's Skull, Nambe, NM, 1955. Gelatin silver print, 6 x 4 1/2 in. Georgia O'Keeffe Museum. Gift of Nathaniel O. and Page Allen Owings. © Todd Webb Archive. [1996.6.2]"					
"Georgia O'Keeffe Museum (Santa Fe)"	"1000"	"2006.5.97"	"417, Catalogue Raisonne Number"	"Paintings/Visual Works"		"Two green pears rest on top of green fabric.  The tops of the pears point toward the lower left corner, and the upper pear lies slightly behind the lower pear.  Behind the fabric, much of the background is white; however, the background visible in the two upper corners is black."	"Gift of The Georgia O'Keeffe Foundation      "	"Oil on board"	"oil paint, board"	"13 3/4 x 9 7/8  inches"	"Nov 19 2019"	"1"	"Paintings/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300033618"		"http://vocab.getty.edu/aat/300015050, "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Alligator Pears, 1923"	"Oil on board, 13 3/4 x 9 7/8 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.97]"	"725545"	"725545, "	"Georgia O'Keeffe. Alligator Pears, 1923. Oil on board, 13 3/4 x 9 7/8 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.97]"	"417"	"1924 New York (Anderson), among nos. 1-7, as Alligator Pears` ^2002 Santa Fe (O'Keeffe) GOKM 5th Anniversary ^2003 Santa Fe (O'Keeffe) Permanent Collection (Stieglitz / Frames of Preference) ^2007 Santa Fe (O'Keeffe) Permanent Collection (Living Artists: Sherrie Levine) ^2009 Santa Fe (O'Keeffe) Permanent Collection (Modernists in NM) ^2009 Santa Fe (O'Keeffe) Permanent Collection (Beyond Our Shores/Jimson Weed Returns) ^2010 Santa Fe (O'Keeffe) Permanent Collection (Rothenberg: Moving in Place) ^2011 Santa Fe (O'Keeffe) Permanent Collection (Robert Henri) ^2012 Santa Fe (O'Keeffe) Permanent Collection (Jaune Quick-to-See Smith) ^2012 Santa Fe (O'Keeffe) Permanent Collection (Faraway) ^2016 Santa Fe (O'Keeffe) Abstract Nature ^2013 Santa Fe (O'Keeffe) Modern Nature"			"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1001"	"2006.5.107"	"534, Catalogue Raisonne Number"	"Paintings/Visual Works"		"In this small painting, a mussel shell rests inside a clam shell.  The inner sides of both shells are visible to the viewer.  The clam shell is light in color.  Its hinge touches the left side of the canvas.  The mussel shell is darker in color, and much of its visible inner side reflects its characteristic pearlesque luster."	"Gift of The Georgia O'Keeffe Foundation      "	"Oil on canvas"	"oil paint, canvas"	"9 x 7 inches"	"Aug 28 2019"	"1"	"Paintings/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Inscriptions: Stretcher: ^1. August 1926 / Georgia O'Keeffe"" (graphite) ^2. ""Zinc W / Shape 2"" (graphite) ^3. O'Keeffe B"" [B in circle] (George Of, graphite) ^4. ""111 [in circle] #2 (unidentified hand, graphite) ^Backing: ^1. ""New York -- N.Y."" (AIC label, black ink) ^2. ""Dark Shell"" (Alfred Stieglitz, graphite) ^3. ""Georgia O'Keeffe...Gallery / Exhibition 1927"" ^[inscription obscured by label] (Alfred Stieglitz, graphite) ^4. AAP2 ^5. AAP9"	"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300033618"		"http://vocab.getty.edu/aat/300015050, "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Clam and Mussel, 1926"	"Oil on canvas, 9 x 7 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.107]"	"725579"	"725579, "	"Georgia O'Keeffe. Clam and Mussel, 1926. Oil on canvas, 9 x 7 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.107]"	"534"	"1927 New York (Intimate Gallery), among nos. 1-6, as The Sea -- Shell ^1943 Chicago, no 19 ^1987 Washington, no. 65 ^2008 Santa Fe (O'Keeffe) Permanent Collection (Hartley) ^2008 Santa Fe (O'Keeffe) GOK and Ansel Adams; all venues ^2010 Santa Fe (O'Keeffe) Permanent Collection (Rothenberg: Moving in Place) ^2011 Santa Fe (O'Keeffe) Permanent Collection (Robert Henri) ^2012 Santa Fe (O'Keeffe) Permanent Collection (Jaune Quick-to-See Smith) ^2012 Santa Fe (O'Keeffe) Permanent Collection (Faraway)"			"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1002"	"2006.5.108"	"535, Catalogue Raisonne Number"	"Paintings/Visual Works"		"Much of this small painting is occupied by a large tan clam shell.  The shell seems to be partially open, and it offers a glimpse inside along its upper edge.  The shell's hinge lies near the right side of the work.  Branches of seaweed swirl behind the shell along the upper edge of the painting."	"Gift of The Georgia O'Keeffe Foundation      "	"Oil on canvas"	"oil paint, canvas"	"9 x 7 inches"	"Nov 19 2019"	"1"	"Paintings/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Inscriptions: Stretcher: ^1. ""1926"" (Alfred Stieglitz, graphite) ^2. ""by Georgia O'Keeffe"" (Alfred Stieglitz, graphite) ^3. ""$800 (striked out with line thru middle of $800) /$1400"" (Alfred Stieglitz, graphite) ^4. ""#1/ B / 11 [11 in circle]"" (unidentified hand, graphite) ^Backing: ^1. ""Tan Clam shell with Sea Weed -- 27"" (graphite) ^2. OK * (graphite) ^3. ""New York -- N.Y."" (AIC label, black ink) ^4. AAP2 ^5. AAP9"	"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300033618"		"http://vocab.getty.edu/aat/300015050, "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Tan Clam Shell with Seaweed, 1926"	"Oil on canvas, 9 x 7 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.108]"	"725580"	"725580, "	"Georgia O'Keeffe. Tan Clam Shell with Seaweed, 1926. Oil on canvas, 9 x 7 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.108]"	"535"	"1927 New York (Intimate Gallery), among nos. 1-6, as The Sea--Shell ^1933 New York (An American Place), no. 16 as Shell with Seaweed ^1943 Chicago, no 23 ^1987 Washington, no. 64 ^2001 Santa Fe (O'Keeffe) O'Keeffe's O'Keeffe's ^2007 Santa Fe (O'Keeffe) Permanent Collection (Living Artists: Sherrie Levine) ^2010 Santa Fe (O'Keeffe) Permanent Collection (Rothenberg: Moving in Place) ^2011 Santa Fe (O'Keeffe) Permanent Collection (Robert Henri)"			"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1003"	"2006.5.109"	"610, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"The poppy mainly occupies the lower half of the paper.  Many tiny leaves and stems surround the flower.  The upper portion of the inner layer of the poppy falls slightly over the flower's center, blocking a bit of the center from view."	"Gift of The Georgia O'Keeffe Foundation      "	"Charcoal on paper"	"charcoal, Paper"	"10 7/8 x 8 1/2 inches"	"Nov 26 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Watermark: J. WHATMAN 1919 ^ ^Inscriptions: Verso: ^ ^1. ""Georgia O'Keeffe"" (graphite) ^2. ""29"" (unidentified hand, graphite) ^Backing: ""Georgia O'Keeffe"" (balck ink)"	"Copyright"	"Artist: Georgia O'Keeffe"			"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Small Poppy with Vine I, ca. 1927"	"Charcoal on paper, 10 7/8 x 8 1/2 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.109]"	"725592"	"725592, "	"Georgia O'Keeffe. Small Poppy with Vine I, ca. 1927. Charcoal on paper, 10 7/8 x 8 1/2 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.109]"	"610"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1004"	"2006.5.110"	"611, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"The poppy mainly occupies the lower half of the paper.  A small number of tiny leaves and stems surround the flower.  The poppy is lightly shaded, with shading darkening towards the center and around the edges."	"Gift of The Georgia O'Keeffe Foundation      "	"Charcoal on paper"	"charcoal, Paper"	"10 7/8 x 8 1/2 inches"	"Nov 26 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Watermark: J. WHATMAN 1919"	"Copyright"	"Artist: Georgia O'Keeffe"			"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Small Poppy with Vine II, ca. 1927"	"Charcoal on paper, 10 7/8 x 8 1/2 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.110]"	"725593"	"725593, "	"Georgia O'Keeffe. Small Poppy with Vine II, ca. 1927. Charcoal on paper, 10 7/8 x 8 1/2 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.110]"	"611"				"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1005"	"2006.5.125"	"756, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"The six-petaled lily is situated just a bit off center on the upper half of the sheet of paper.  The center of the flower hangs down slightly.  Each leaf has a darker center that is bisected by a white stripe."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"24 x 18 1/4 inches"	"Nov 20 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Lily), ca. 1930-1936"	"Graphite on paper, 24 x 18 1/4 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.125]"	"725634"	"725634, "	"Georgia O'Keeffe. Untitled (Lily), ca. 1930-1936. Graphite on paper, 24 x 18 1/4 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.125]"	"756"	"2006 Santa Fe (O'Keeffe) Celebration of New Work ^2006 Santa Fe (O'Keeffe) Permanent Collection (GOK: Color and Conservation) ^2006 Santa Fe (O'Keeffe) Permanent Collection (Paul Strand) ^2007 Santa Fe (O'Keeffe) Permanent Collection (Living Artists: Sherrie Levine)"			"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1006"	"2006.5.128"	"764, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"A large leaf is located in the lower-right portion of the paper.  The veins of the leaf are clearly visible on its surface.  To the left of the leaf, a lily opens up above a bulbous protrusion on its stem."	"Gift of The Georgia O'Keeffe Foundation      "	"Graphite on paper"	"Graphite, Paper"	"23 1/4 x 17 3/4 inches"	"Nov 26 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"		"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Untitled (Leaf), ca. 1930-1936"	"Graphite on paper, 23 1/4 x 17 3/4 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.128]"	"725641"	"725641, "	"Georgia O'Keeffe. Untitled (Leaf), ca. 1930-1936. Graphite on paper, 23 1/4 x 17 3/4 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.128]"	"764"	"2006 Santa Fe (O'Keeffe) Celebration of New Work ^2006 Santa Fe (O'Keeffe) Permanent Collection (GOK: Color and Conservation) ^2006 Santa Fe (O'Keeffe) Permanent Collection (Paul Strand) ^2007 Santa Fe (O'Keeffe) Permanent Collection (Living Artists: Sherrie Levine)"			"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1007"	"2006.5.134"	"782, Catalogue Raisonne Number"	"Paintings/Visual Works"		"In the Hopi culture, the term Katsina (Katsinam, plural), also Kachina, is only used in reference to spirit beings. The Hopi term for the carved wooden figures that represent the Katsinam is Katsina tihu (tithu, plural). Georgia O’Keeffe created paintings of Hopi katsina dolls (tithu) between 1931 and 1942. These religious figures were highly visible and available to non-Hopi and non-Pueblo people during this time, but the museum has no record regarding why she painted or drew these figures nor where she saw them. ^ ^The head of a kachina is the central focus of this round panel.  The head is painted yellow, and two orange shapes protrude from the head on each side.  Feathers extend from the top of the head and from behind on the left side.  Five cross marks in various colors also decorate the face."	"Gift of The Georgia O'Keeffe Foundation      "	"Oil on board"	"oil paint, board"	"8 7/16 inches in diameter"	"Nov 20 2019"	"1"	"Paintings/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Inscriptions: Verso: ^1. ""Paul's Kachina / 31"" (graphite) ^2. OK * (graphite)"	"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300033618"		"http://vocab.getty.edu/aat/300015050, "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"Paul's Kachina, 1931"	"Oil on board, 8 7/16 inches in diameter"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.134]"		", "	"Georgia O'Keeffe. Paul's Kachina, 1931. Oil on board, 8 7/16 inches in diameter. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.134]"	"782"	"1997 Santa Fe (O'Keeffe) Inaugural ^1998 Santa Fe (O'Keeffe) Pemanent ^2007 Santa Fe (O'Keeffe) Permanent Collection (Living Artists: Sherrie Levine) ^2013 Santa Fe (O'Keeffe) Katsina; all venues"			"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
"Georgia O'Keeffe Museum (Santa Fe)"	"1008"	"2006.5.138"	"802, Catalogue Raisonne Number"	"Works on Paper/Visual Works"		"This work illustrates the industrial landscape surrounding the East River.  The river, on which a boat is visible, bisects the scene horizontally.  In the foreground, several buildings line the various streets that lead to the river bank.  On the opposite side of the river, smokestacks rise above factories."	"Gift of The Georgia O'Keeffe Foundation      "	"Charcoal on paper"	"charcoal, Paper"	"18 3/8 x 24 inches"	"Aug 28 2019"	"1"	"Works on Paper/Visual Works"	"Web Published"	"Visual Works/Curatorial"	"Accessioned"	"Watermark: MICHALLET France ^ ^Inscriptions: Verso: ^1. another work, sketch of skyscraper, see cat. no. 803 ^2. "" East River Georgia O'Keeffe 32"" (graphite) ^3. ""22"" (unidentified hand, graphite) ^Backing: ""Georgia O'Keeffe"" (black ink)"	"Copyright"	"Artist: Georgia O'Keeffe"	"Estate of the artist, 1986   Georgia O'Keeffe   1986   Abiquiu/New Mexico"		"Georgia O'Keeffe Museum (Santa Fe)"	"http://rightsstatements.org/vocab/InC/1.0/"	"http://vocab.getty.edu/aat/300189621"		", "	"Georgia O'Keeffe"	"Artist: Georgia O'Keeffe"	"East River, 1932"	"Charcoal on paper, 18 3/8 x 24 inches"	"Georgia O'Keeffe Museum"	"© Georgia O'Keeffe Museum"	"[2006.5.138]"	"725658"	"725658, "	"Georgia O'Keeffe. East River, 1932. Charcoal on paper, 18 3/8 x 24 inches. Georgia O'Keeffe Museum. Gift of The Georgia O'Keeffe Foundation. © Georgia O'Keeffe Museum. [2006.5.138]"	"802"	"2006 Santa Fe (O'Keeffe) Celebration of New Work ^2006 Santa Fe (O'Keeffe) Permanent Collection (GOK: Color and Conservation) ^2006 Santa Fe (O'Keeffe) Permanent Collection (Paul Strand) ^2016 Santa Fe (O'Keeffe) My New Yorks"		"1210"	"https://www.arsny.com/requests   Image Request Link   Artists Rights Society Image Request Portal"
