System ID	Record Type	Name Type only	Title only	Firstname only	Known As only	Lastname only	Date Born Est	Date Died Ceased	Gender	Nationality	Biographical Display	Primary Occupation	Related Person System ID	Related Person Details	Originating Database	External File Details	Person URI	Cataloguer
"1595"	"Corporate"	"Preferred"				"American Academy of Arts and Letters"	"1898"				"The American Academy of Arts and Letters is a 250-member honor society; its goal is to ""foster, assist, and sustain excellence"" in American literature, music, and art. Located in the Washington Heights neighborhood of Manhattan in New York City, it shares Audubon Terrace, a complex on Broadway between West 155th and 156th Streets, with the Hispanic Society of America and Boricua College. ^The academy's galleries are open to the public on a published schedule. Exhibits include an annual exhibition of paintings, sculptures, photographs and works on paper from contemporary artists nominated by its members, and an annual exhibition of works by newly elected members and recipients of honors and awards. A permanent exhibit of the recreated studio of composer Charles Ives was opened in 2014.The auditorium is sought out by musicians and engineers wishing to record live, as the acoustics are considered among the city's finest. Hundreds of commercial recordings have been made there. (Sourced from Wikipedia, January 2020)"	"Arts Patron"			"Union List of Artist Names   May 15 2019   500303688"	"http://vocab.getty.edu/ulan/500303688   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500303688"	"Debbie Garcia-Orona (Santa Fe)   May 15 2019"
"1578"	"Corporate"	"Preferred, Former"				"Birmingham Museum of Art, Birmingham Art Club"	"1951"				"Founded in 1951, the Birmingham Museum of Art in Birmingham, Alabama, today has one of the finest collections in the Southeastern United States, with more than 24,000 paintings, sculptures, prints, drawings, and decorative arts representing a numerous diverse cultures, including Asian, European, American, African, Pre-Columbian, and Native American. Among other highlights, the Museum’s collection of Asian art is considered the finest and most comprehensive in the Southeast, and its Vietnamese ceramics one of the finest in the U.S. The Museum also is home to a remarkable Kress Collection of Renaissance and Baroque paintings, sculpture, and decorative arts from the late 13th century to c.1750, and the 18th-century European decorative arts include superior examples of English ceramics and French furniture. ^The Birmingham Museum of Art is owned by the City of Birmingham and encompasses 3.9 acres (16,000 m2) in the heart of the city’s cultural district. Erected in 1959, the present building was designed by architects Warren, Knight and Davis, and a major renovation and expansion by Edward Larrabee Barnes of New York was completed in 1993. The facility encompasses 180,000 square feet (17,000 m2), including an outdoor sculpture garden. (Sourced from Wikipedia, January 2020)"	"Art Museum"			"LC Name Authority File   May 01 2019   n79145297"	"http://id.loc.gov/authorities/names/n79145297   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/n79145297"	"Debbie Garcia-Orona (Santa Fe)   May 01 2019"
"1579"	"Corporate"	"Preferred, Former"				"Boris Mirski Gallery, Boris Mirski Art Gallery"	"1944"	"1979"				"Gallery Owner"			"LC Name Authority File   May 02 2019   no2003049783"	"http://id.loc.gov/authorities/names/no2003049783   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/no2003049783"	"Debbie Garcia-Orona (Santa Fe)   May 02 2019"
"1588"	"Corporate"	"Preferred"				"Centennial Club"	"1905-1977"											"Debbie Garcia-Orona (Santa Fe)   May 09 2019"
"1550"	"Corporate"	"Preferred"				"The Dayton Art Institute"	"1919"			"American"	"The Dayton Art Institute (DAI) is a museum of fine arts in Dayton, Ohio, United States. The Dayton Art Institute has been rated one of the top 10 best art museums in the United States for children. The museum also ranks in the top 3% of all art museums in North America in 3 of 4 factors. In 2007, the art institute saw 303,834 visitors. (Sourced from Wikipedia, January 2020)"	"Art Museum"			"LC Name Authority File   Apr 11 2019   n79145307"	"http://id.loc.gov/authorities/names/n79145307   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/n79145307"	"Debbie Garcia-Orona (Santa Fe)   Apr 11 2019"
"1566"	"Corporate"	"Preferred"				"Encyclopaedia Britannica, Inc."	"1768"				"Encyclopædia Britannica, Inc. is a Scottish-founded, now American company best known for publishing the Encyclopædia Britannica, the world's oldest continuously published encyclopaedia. (Sourced from Wikipedia, January 2020)"	"Author"			"LC Name Authority File   Apr 23 2019   n79127925"	"http://id.loc.gov/authorities/names/n79127925   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/n79127925"	"Debbie Garcia-Orona (Santa Fe)   Apr 23 2019"
"1536"	"Corporate"	"Preferred, Former"				"Everson Museum of Art, Syracuse Museum of Fine Arts"	"1897"			"American"	"The Everson Museum of Art ( EE-vər-sən) in Downtown Syracuse, New York is a major Central New York museum focusing on American art. (Sourced from Wikipedia, January 2020)"	"Art Museum"			"LC Name Authority File   Mar 13 2019   n79110303"	"http://id.loc.gov/authorities/names/n79110303   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/n79110303"	"Debbie Garcia-Orona (Santa Fe)   Mar 13 2019"
"1564"	"Corporate"	"Preferred"				"Grand Central Art Galleries"	"1922"	"1994"			"The Grand Central Art Galleries were the exhibition and administrative space of the nonprofit Painters and Sculptors Gallery Association, an artists' cooperative established in 1922 by Walter Leighton Clark together with John Singer Sargent, Edmund Greacen, and others. Artists closely associated with the Grand Central Art Galleries included Hovsep Pushman, George de Forest Brush, and especially Sargent, whose posthumous show took place there in 1928.The Galleries were active from 1923 until 1994. For 29 years they were located on the sixth floor of Grand Central Terminal. At their 1923 opening, the Galleries covered 14,000 square feet (1,300 m2) and offered nine exhibition areas and a reception room, described as ""the largest sales gallery of art in the world."" In 1958 the Galleries moved to the second floor of the Biltmore Hotel, where they had six exhibition rooms and an office. They remained at the Biltmore for 23 years, until it was converted into an office building. The Galleries then moved to 24 West 57th Street, where they remained until they ceased activity.In addition to their main offices, the Grand Central Art Galleries directed a number of other enterprises. They launched the Grand Central School of Art in 1923, opened a branch gallery at Fifth Avenue and 51st Street in 1933, and in 1947 established Grand Central Moderns to show non-figurative works. The Grand Central Art Galleries were also responsible for the creation, design, and construction of the United States Pavilion at the Venice Biennale. (Sourced from Wikipedia, January 2020)"	"Gallery Owner"			"LC Name Authority File   Apr 23 2019   n85811644"	"http://id.loc.gov/authorities/names/n85811644   LOD Equivalent URI   "	"http://id.loc.gov/authorities/names/n85811644"	"Debbie Garcia-Orona (Santa Fe)   Apr 23 2019"
"348"	"Corporate"	"Preferred, Former, Subsidiary"				"Indianapolis Museum of Art, John Herron Art Museum, Art Association of Indianapolis, Indiana"	"1902"			"American"	"The Indianapolis Museum of Art (IMA) is an encyclopedic art museum located at Newfields, a 152-acre (0.62 km2) campus that also houses Lilly House, The Virginia B. Fairbanks Art & Nature Park: 100 Acres, The Gardens at Newfields, the Beer Garden, and more. It is located at the corner of North Michigan Road and West 38th Street, near downtown Indianapolis, northwest of Crown Hill Cemetery. There are exhibitions, classes, tours, and events, many of which change seasonally. The entire campus was previously referred to as the Indianapolis Museum of Art, but in 2017 the campus and organization were renamed ""Newfields"" to better reflect the breadth of offerings and venues. The ""Indianapolis Museum of Art"" now specifically refers to the main art museum building that acts as the cornerstone of the campus, as well as the legal name of the organization doing business as Newfields.The Indianapolis Museum of Art is the ninth oldest and eighth largest encyclopedic art museum in the United States. The permanent collection comprises over 54,000 works, including African, American, Asian, and European pieces. Significant areas of the collection include: Neo-Impressionist paintings; Japanese paintings of the Edo period; Chinese ceramics and bronzes; paintings, sculptures, and prints by Paul Gauguin and the Pont-Aven School; a large number of works by J. M. W. Turner; and a growing contemporary art collection. Other areas of emphasis include textiles and fashion arts as well as a recent focus on modern design.Founded in 1883 by the Art Association of Indianapolis, the first permanent museum was opened in 1906 as part of the John Herron Art Institute. In 1969, the Art Association of Indianapolis changed its name to the Indianapolis Museum of Art, and in 1970 the museum moved to its current location. Among the Art Association's founders was May Wright Sewall (1844–1920), known for her work in the women's suffrage movement. Other supporters have included Booth Tarkington (1869–1946), Eli Lilly (1885–1977), Herman C. Krannert (1887–1972), and Caroline Marmon Fesler (1878–1960). The associated John Herron Art Institute was established with the help of notable Hoosier Group artists T. C. Steele and William Forsyth.The museum is widely recognized as innovative in its development of open source technologies, institutional transparency, and collaboration between museums. In 2008, the IMA became the first fine art museum to be named an Energy Star partner due to its greening initiative and efforts to reduce energy consumption. In 2009, the IMA was awarded the National Medal for Museum and Library Service for public service, specifically the museum's free admission policy and educational programming. The free admission policy ended in late 2014 after seven years to maintain long-term financial stability.Dr. Charles L. Venable is the current Melvin and Bren Simon Director and CEO. (Sourced from Wikipedia, January 2020)"	"Art Museum"			"Union List of Artist Names   May 14 2019   500300517"	"http://vocab.getty.edu/ulan/500300517   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500300517"	"Debbie Garcia-Orona (Santa Fe)   May 14 2019"
"1581"	"Corporate"	"Preferred, Former"				"Institute of Contemporary Art"	"1936"					"Art Museum"			"Union List of Artist Names   May 07 2019   500305146"	"http://vocab.getty.edu/ulan/500305146   LOD Equivalent URI   "	"http://vocab.getty.edu/ulan/500305146"	"Debbie Garcia-Orona (Santa Fe)   May 07 2019"
