System ID Object	Subject Category ID	Subject Category	Subject Category Notes	Subject Notes	Subject Object	Subject Date	Subject Date Notes	Subject Event	Subject Event ID	Subject Event Notes	Subject Place ID	Subject Place	Subject Place Role	Subject Place Notes	Subject Person ID	Subject Person name only	Subject Role	Associated Person ID	Associated Person	Associated Role	Associated Event ID	Associated Event	Associated Date	Associated Object	Associated Place ID	Associated Place	Associated Place Role
"10"																											
"1000"																											
"1001"																											
"1002"																											
"1003"																											
"1004"																											
"1005"																											
"1006"																											
"1007"																											
"1008"																											
"1009"																											
"1010"																											
"1011"																											
"1012"																											
"1013"																											
"1014"																											
"1015"																											
"1016"																											
"1017"																											
"1018"																											
"1020"																											
"1021"																											
"1022"																											
"1023"																											
"1024"																											
"1025"																											
"1026"																											
"1027"																											
"1028"																											
"1029"																											
"103"																											
"1030"																											
"1031"																											
"1032"																											
"1033"																											
"1034"																											
"1035"																											
"1036"																											
"1037"																											
"1038"																											
"1039"																											
"104"																											
"1040"																											
"1041"																											
"1042"																											
"1043"																											
"1044"																											
"1045"																											
"1046"																											
"1047"																											
"1048"																											
"1049"																											
"105"																											
"1050"																											
"1051"																											
"1052"																											
"1053"																											
"1054"																											
"1055"																											
"1056"																											
"1057"																											
"1058"																											
"1059"																											
"1060"																											
"1061"																											
"1062"																											
"1063"																											
"1064"																											
"1065"																											
"1066"																											
"1067"																											
"1068"																											
"1069"																											
"1070"																											
"1071"																											
"1072"																											
"1073"																											
"1074"																								"1978"			
"1075"																											
"1076"																											
"1077"																											
"1078"																											
"1079"																											
"1080"																											
"1081"																											
"1082"																											
"1083"																											
"1084"																											
"1085"																											
"1086"																											
"1087"																											
"1088"																											
"1089"																											
"1090"																											
"1091"																											
"1092"																											
"1093"																											
"1094"																											
"1096"																											
"1097"																											
"1098"																											
"1099"	"252"	"Exhibition Installation Photographs"													"2, 1459"	"Georgia O'Keeffe, 291 (Art Gallery) (New York City)"	"Depicted, Depicted"										
"11"																											
"1100"															"2"	"Georgia O'Keeffe"	"Depicted"										
"1103"																											
"1148"																											
"1149"																											
"1150"																											
"1151"																											
"1152"																											
"1153"																											
"1154"																											
"1155"																											
"1156"																											
"1157"																											
"1158"																											
"1159"																											
"1160"																											
"1161"																											
"1162"																											
"1163"																											
"1164"																											
"1165"																											
"1166"																											
"1168"																											
"1169"																											
"1170"																											
"1171"																											
"1173"																											
"1174"																											
"1175"																											
"1176"																											
"1177"																											
"1178"																											
"1179"																											
"1180"																											
"1181"																											
"1182"																											
"1183"																											
"1184"																											
"1185"																											
"1186"																											
"1187"																											
"1188"																											
"1189"																											
"1190"																											
"1191"																											
"1192"																											
"1193"																											
"1194"																											
"1195"																											
"1196"																											
"1197"																											
"1198"																											
"1199"																											
"12"																											
"1200"																											
"1201"																											
"1202"																											
"1203"																											
"1204"																											
"1205"																											
"1206"																											
"1207"																											
"1208"																											
"1209"																											
"1210"																											
"1211"																											
"1212"																											
"1213"																											
"1214"																											
"1216"																											
"1217"																											
"1218"																											
"1219"																											
"122"																											
"1220"																											
"1226"					"Abstract Spiral"																						
"123"																											
"1230"																											
"1231"																											
"1232"																											
"1233"																											
"1234"																											
"1235"																											
"1236"																											
"1237"																											
"1238"																											
